anime_id,mal_id,title,english_title,user_preferred_title,cover_image_large
182333,59980.0,Doraemon: Nobita no E Sekai Monogatari,,Doraemon: Nobita no E Sekai Monogatari,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx182333-t7cPjoPHHPBp.png
184765,60351.0,Iku Iku ♡ Succubus Saikyouiku,,Iku Iku ♡ Succubus Saikyouiku,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx184765-bnevwOoXSFur.png
182877,60094.0,Kankin Kuiki Level X 2nd Season,Lockdown Zone: Level X Season 2,Kankin Kuiki Level X 2nd Season,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx182877-In2sD6eEJdvw.png
173333,57827.0,Mashin Souzouden Wataru,MASHIN CREATOR WATARU,Mashin Souzouden Wataru,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx173333-lqvM2Ya74nN9.jpg
186207,60782.0,Itsuka no Watashi yori,,Itsuka no Watashi yori,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx186207-wXRSveC72nUP.png
185779,61353.0,Hametsu no Yuuwaku,,Hametsu no Yuuwaku,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185779-uzQoDrD3Sy6r.png
176432,,Thunderbolt Fantasy: Touriken Yuuki - Saishuushou,Thunderbolt Fantasy Sword Seekers -The Finale-,Thunderbolt Fantasy: Touriken Yuuki - Saishuushou,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx176432-jqq2IZrjYaiZ.jpg
185648,60537.0,Monpoké,,Monpoké,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185648-NLFMKByKkNKx.png
185612,60045.0,The iDOLM@STER: Shiny Colors 2nd season - SHHis,,The iDOLM@STER: Shiny Colors 2nd season - SHHis,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185612-k7OiD1ocpHMC.png
192928,61327.0,Nomo no Kuni,The Land of NOMO,Nomo no Kuni,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx192928-akbttQVo3Mdi.png
189893,60984.0,Sora-iro Utility × BIRDIE WING: Golf Girls' Story Mini Anime,,Sora-iro Utility × BIRDIE WING: Golf Girls' Story Mini Anime,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx189893-7T1pZjLbwEie.png
184824,60642.0,Yuusha-chan no Bouken wa Owatte Shimatta!,,Yuusha-chan no Bouken wa Owatte Shimatta!,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx184824-UcbgUai3o3xd.png
